participant_ID,treatment,part,trial_no,setup_cost_red,setup_cost_blue,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,posterior,true_guilty_suspect,suspect_accused,time
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,0.0,0,0,0,-1,0.1,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,1.0,1,0,0,-1,0.07692307692307693,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,0,1.0,1,1,0,-1,0.10000000000000002,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,4,0,0.0,1,2,0,-1,0.12903225806451615,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,5,0,0.0,2,2,0,-1,0.10000000000000002,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,6,0,1.0,3,2,0,-1,0.07692307692307693,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,7,0,0.0,3,3,0,-1,0.10000000000000002,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,8,0,1.0,4,3,0,-1,0.07692307692307693,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,9,0,0.0,4,4,0,-1,0.10000000000000002,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,10,0,1.0,5,4,0,-1,0.07692307692307693,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,11,1,0.0,5,5,0,-1,0.10000000000000002,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,1.0,0,0,0,-1,0.1,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,1.0,0,1,0,-1,0.12903225806451613,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,1,0.0,0,2,0,-1,0.16494845360824742,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,1,0.0,0,0,0,-1,0.1,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,0.0,0,0,0,-1,0.1,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,0.0,1,0,0,-1,0.07692307692307693,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,0,1.0,2,0,0,-1,0.058823529411764705,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,4,0,1.0,2,1,0,-1,0.07692307692307693,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,5,1,0.0,2,2,0,-1,0.10000000000000002,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,1.0,0,0,0,-1,0.1,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,0.0,0,1,0,-1,0.12903225806451613,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,0,1.0,1,1,0,-1,0.09999999999999999,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,4,0,0.0,1,2,0,-1,0.12903225806451613,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,5,0,0.0,2,2,0,-1,0.09999999999999999,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,6,0,1.0,3,2,0,-1,0.07692307692307693,0.0,0.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,7,0,0.0,3,3,0,-1,0.10000000000000002,0.0,0.0,0
